link_id,source_link_id,road_no,road_class,road_name,length_km,chainage_from_km,chainage_to_km,surface,pavement_class,maintenance_station,maintenance_region,start_x_coordinate_dd,start_y_coordinate_dd,end_x_coordinate_dd,end_y_coordinate_dd,link_id_correction_status
A001_Link01,A001_Link01,A001,A,Kampala - Mukono,17.737,0.0,17.737,Bituminous,Paved,Kampala,Central,32.6089995,0.32624547,32.75137469,0.35829878,Source ID retained
A001_Link02,A001_Link02,A001,A,Mukono - Lugazi,24.142,17.737,41.879,Bituminous,Paved,Kampala,Central,32.75137469,0.35829878,32.94244842,0.36864272,Source ID retained
A001_Link03,A001_Link03,A001,A,Lugazi - Njeru,30.113,41.879,71.992,Bituminous,Paved,Kampala,Central,32.94244842,0.36864272,33.18347956,0.44236226,Source ID retained
A001_Link04,A001_Link04,A001,A,Njeru - Jinja,2.29998767807,71.992,74.2919876781,Bituminous,Paved,Kampala,Central,33.17827143,0.44014521,33.19597808,0.44447786,Source ID retained
A001_Link05,A001_Link05,A001,A,Jinja - Kakira Junction,11.852,74.2919876781,86.1439876781,Bituminous,Paved,Jinja,Eastern,33.19804973,0.44542076,33.28486365,0.48610141,Source ID retained
A001_Link06,A001_Link06,A001,A,Kakira junction - Iganga,26.87,86.1439876781,112.952987678,Bituminous,Paved,Jinja,Eastern,33.28486365,0.48610141,33.47814985,0.6150131,Source ID retained
A001_Link07,A001_Link07,A001,A,Iganga - Nakalama,4.907,112.952987678,117.859987678,Bituminous,Paved,Jinja,Eastern,33.47814985,0.6150131,33.51850709,0.6287347,Source ID retained
A001_Link08,A001_Link08,A001,A,Nakalama - Bugiri - Namutere,28.4249569938,117.859987678,146.284944672,Bituminous,Paved,Jinja,Eastern,33.51850709,0.6287347,33.7565743,0.56309824,Source ID retained
A001_Link09,A001_Link09,A001,A,Namutere - Busitema Junction,24.9864183193,146.284944672,172.718987678,Bituminous,Paved,Tororo,Eastern,33.7565743,0.56309824,33.96771658,0.52505897,Source ID retained
A001_Link10,A001_Link10,A001,A,Busitema Junction - Tororo junction,28.29,172.718987678,201.008987678,Bituminous,Paved,Tororo,Eastern,33.96771658,0.52505897,34.17312424,0.66001653,Source ID retained
A001_Link11,A001_Link11,A001,A,Tororo junction - Malaba(Uganda/Kenya border),11.649,201.008987678,212.657987678,Bituminous,Paved,Tororo,Eastern,34.17312424,0.66001653,34.26810836,0.63760627,Source ID retained
