district,county,subcounty,parish,village,total_links,total_km,paved_km,unpaved_km,good_km,fair_km,poor_km,avg_speed_kmh
MITYANA,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,252,927.01,0.0,927.01,15.84,592.36,318.81,21.6
MARACHA,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,126,580.82,0.0,580.82,0.0,124.47,456.35,15.2
MASINDI,,MUTUNDA,DIIMA,BUDONGO F.R,100,2012.54,124.47,1888.07,867.23,1096.56,48.75,29.9
MOYO,CENTRAL COUNTY,GIMARA,LIWA,CENTRAL VILLAGE,177,705.19,220.8,484.39,0.0,277.51,427.68,19.1
MOROTO,CENTRAL COUNTY,NGOLERIET,LOKORETO,CENTRAL VILLAGE,102,509.69,109.91,399.78,41.88,306.2,161.6,26.6
MITOOMA,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,90,601.75,22.46,579.29,57.73,512.4,31.63,26.7
MBARARA,,NGARAMA,KYABISHAHO,KAHOMA,295,919.04,0.0,919.04,0.0,286.18,632.86,16.1
MAYUGE,,IMMANYIRO,LWANIKA,BUBAMBWE,369,1426.97,33.59,1393.38,19.53,1133.96,273.47,23.7
MANAFWA,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,186,675.62,126.02,549.6,5.79,114.35,555.49,15.1
BUDUDA,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,141,363.12,21.85,341.27,0.0,0.0,363.12,8.6
BUYENDE,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,288,1123.89,245.24,878.66,12.68,810.42,300.79,22.8
BUVUMA,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,84,337.13,0.0,337.13,7.3,207.89,121.94,22.1
BUTAMBALA,BUTAMBALA,CENTRAL SUBCOUNTY,CENTRAL PARISH,FOREST RESERVE,234,719.09,0.0,719.09,44.94,540.33,133.82,24.1
BUTALEJA,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,162,644.26,18.09,626.17,0.0,562.38,81.88,22.7
BUND1BUGYO,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,129,383.35,0.0,383.35,0.0,49.8,333.55,14.6
BULIISA,,CENTRAL SUBCOUNTY,CENTRAL PARISH,KITYANGA,180,668.01,425.25,242.77,72.66,489.55,105.8,25.0
BULAMBULI,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,147,442.4,26.38,416.01,18.0,44.79,379.61,16.9
BUKWO,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,99,416.29,0.0,416.29,0.0,42.69,373.6,14.2
BUKOMANSIMBI,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,189,834.57,117.08,717.49,40.41,794.16,0.0,28.1
BUKEDEA,BUKEDEA,CENTRAL SUBCOUNTY,CENTRAL PARISH,OKULA,156,967.45,409.94,557.51,766.33,196.13,5.0,35.9
BUIKWE,BUIKWE,CENTRAL SUBCOUNTY,CENTRAL PARISH,NANSO A,219,868.12,0.0,868.12,10.54,316.66,540.92,49.8
BUHWEJU,,CENTRAL SUBCOUNTY,CENTRAL PARISH,RUKONDO,198,744.95,32.41,712.54,0.0,158.43,586.52,16.5
BUDAKA,BUDAKA,CENTRAL SUBCOUNTY,CENTRAL PARISH,LUKONGE B,261,799.37,185.98,613.39,0.0,508.39,290.98,20.8
ABIM,LABWOR,CENTRAL SUBCOUNTY,CENTRAL PARISH,RACKOKO CENTRAL,147,561.97,89.88,472.09,88.59,323.48,149.9,24.7
ADJUMANI,CENTRAL COUNTY,CIFORO,GULINYA,CENTRAL VILLAGE,303,1230.54,789.6,440.94,44.88,844.41,341.25,23.2
AMURIA,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,168,478.4,52.97,425.42,229.49,220.42,28.49,33.7
AMUDAT,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,132,682.09,50.67,631.42,350.63,232.48,98.98,33.1
AMOLATAR,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,165,855.07,178.22,676.85,125.8,691.74,37.53,30.0
ALEBTONG,,CENTRAL SUBCOUNTY,CENTRAL PARISH,OLIRO,246,992.96,307.41,685.54,143.53,606.35,243.08,25.6
AGAGO,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,48,162.73,37.4,125.33,58.22,84.87,19.64,27.1
ISINGIRO,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,225,1180.49,0.0,1180.49,0.0,702.03,478.46,20.7
UNASSIGNED,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,9452,2908.47,0.0,2908.47,0.0,0.0,2908.47,0.0
IBANDA,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,171,690.04,487.05,202.99,99.59,560.37,30.09,29.0
GOMBA,GOMBA,CENTRAL SUBCOUNTY,CENTRAL PARISH,SUGEEZI,261,1020.22,0.0,1020.22,199.24,692.23,128.75,27.5
DOKOLO,,CENTRAL SUBCOUNTY,CENTRAL PARISH,ALIT,408,1252.57,941.53,311.03,22.47,921.17,308.93,23.3
KOLE,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,105,797.42,275.73,521.7,27.62,680.99,88.82,27.0
KYENJOJO,,BUGAAKI,KASENYI,BULINGO,246,1069.98,560.4,509.58,123.66,899.1,47.22,27.2
KYEGEGWA,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,99,777.67,171.69,605.98,113.99,619.43,44.25,28.7
KYANKWANZI,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,105,896.81,0.0,896.81,0.0,644.39,252.41,24.0
KWEEN,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,75,476.56,0.0,476.56,0.0,119.2,357.35,14.2
KUMI,CENTRAL COUNTY,KACHUMBALA,KABWALIN,CENTRAL VILLAGE,435,1143.88,432.1,711.78,209.09,530.73,404.06,22.0
KOBOKO,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,141,626.28,90.54,535.74,76.63,456.57,93.08,25.7
KISORO,CENTRAL COUNTY,BUKIMBIRI,IREMERA,CENTRAL VILLAGE,105,879.36,85.05,794.31,85.05,628.19,166.12,27.6
KIRYANDONGO,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,156,1087.1,118.71,968.38,111.65,920.2,55.26,28.4
TEXT,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,6,5.99,0.0,5.99,5.99,0.0,0.0,999.0
KIRUHURA,,CENTRAL SUBCOUNTY,CENTRAL PARISH,RWAMASASI III,306,1316.01,946.57,369.44,249.92,875.22,190.87,27.3
KIBUKU,KIBUKU,CENTRAL SUBCOUNTY,CENTRAL PARISH,KOMODO,99,356.44,76.68,279.75,0.0,87.57,268.86,15.4
KIBAALE,CENTRAL COUNTY,KASAMBYA,KYEBANDO,CENTRAL VILLAGE,216,1865.65,0.0,1865.65,53.33,1643.25,169.07,24.9
KAPCHORWA,CENTRAL COUNTY,KAPTANYA,NGANGATA,CENTRAL VILLAGE,93,402.02,13.29,388.73,0.0,35.72,366.31,15.7
KAMWENGE,,KAHUNGE,KYAKANYEMERA,MPANGA,273,1102.24,0.0,1102.24,1.74,887.95,212.54,23.1
KALUNGU,CENTRAL COUNTY,CENTRAL SUBCOUNTY,CENTRAL PARISH,CENTRAL VILLAGE,219,1234.92,275.97,958.95,706.29,411.11,117.52,31.5
